"year","month","year_month","days_count"
"2010","1","2010-January","11"
"2010","3","2010-March","8"
"2010","4","2010-April","30"
"2010","5","2010-May","31"
"2010","6","2010-June","30"
"2010","7","2010-July","31"
"2010","8","2010-August","31"
"2010","9","2010-September","30"
"2010","10","2010-October","31"
"2010","11","2010-November","30"
"2010","12","2010-December","31"
"2011","1","2011-January","1"
