"year","month","year_month","cardinal_direction","speed_bin","count_speed_bin","count_total","percent_frequency","cumulative_percent_frequency"
"2010","4","2010-April","NW",4,"9","8382","0.107","4.473"
"2010","4","2010-April","S",1,"204","8382","2.434","2.434"
"2010","4","2010-April","S",2,"289","8382","3.448","5.882"
"2010","4","2010-April","S",3,"296","8382","3.531","9.413"
"2010","4","2010-April","S",4,"205","8382","2.446","11.859"
"2010","4","2010-April","S",5,"99","8382","1.181","13.040"
"2010","4","2010-April","S",6,"17","8382","0.203","13.243"
"2010","4","2010-April","S",7,"3","8382","0.036","13.279"
"2010","4","2010-April","SE",1,"381","8382","4.545","4.545"
"2010","4","2010-April","SE",2,"824","8382","9.831","14.376"
"2010","4","2010-April","SE",3,"667","8382","7.958","22.334"
"2010","4","2010-April","SE",4,"356","8382","4.247","26.581"
"2010","4","2010-April","SE",5,"188","8382","2.243","28.824"
"2010","4","2010-April","SE",6,"39","8382","0.465","29.289"
"2010","4","2010-April","SE",7,"1","8382","0.012","29.301"
"2010","4","2010-April","SW",1,"148","8382","1.766","1.766"
"2010","4","2010-April","SW",2,"152","8382","1.813","3.579"
"2010","4","2010-April","SW",3,"89","8382","1.062","4.641"
"2010","4","2010-April","SW",4,"23","8382","0.274","4.915"
"2010","4","2010-April","SW",5,"5","8382","0.060","4.975"
"2010","4","2010-April","W",1,"150","8382","1.790","1.790"
"2010","4","2010-April","W",2,"119","8382","1.420","3.210"
"2010","4","2010-April","W",3,"58","8382","0.692","3.902"
"2010","4","2010-April","W",4,"1","8382","0.012","3.914"
"2010","4","2010-April","W",5,"1","8382","0.012","3.926"
"2010","5","2010-May","E",1,"646","8643","7.474","7.474"
"2010","5","2010-May","E",2,"553","8643","6.398","13.872"
"2010","5","2010-May","E",3,"135","8643","1.562","15.434"
"2010","5","2010-May","E",4,"54","8643","0.625","16.059"
"2010","5","2010-May","E",5,"6","8643","0.069","16.128"
"2010","5","2010-May","E",6,"1","8643","0.012","16.140"
"2010","5","2010-May","E",7,"1","8643","0.012","16.152"
"2010","5","2010-May","N",1,"287","8643","3.321","3.321"
"2010","5","2010-May","N",2,"267","8643","3.089","6.410"
"2010","5","2010-May","N",3,"96","8643","1.111","7.521"
"2010","5","2010-May","N",4,"12","8643","0.139","7.660"
"2010","5","2010-May","N",5,"7","8643","0.081","7.741"
"2010","5","2010-May","NE",1,"640","8643","7.405","7.405"
"2010","5","2010-May","NE",2,"389","8643","4.501","11.906"
"2010","5","2010-May","NE",3,"101","8643","1.169","13.075"
"2010","5","2010-May","NE",4,"31","8643","0.359","13.434"
"2010","5","2010-May","NE",5,"5","8643","0.058","13.492"
"2010","5","2010-May","NW",1,"120","8643","1.388","1.388"
"2010","5","2010-May","NW",2,"161","8643","1.863","3.251"
"2010","5","2010-May","NW",3,"105","8643","1.215","4.466"
"2010","5","2010-May","NW",4,"20","8643","0.231","4.697"
"2010","5","2010-May","NW",5,"2","8643","0.023","4.720"
"2010","5","2010-May","S",1,"179","8643","2.071","2.071"
"2010","5","2010-May","S",2,"348","8643","4.026","6.097"
"2010","5","2010-May","S",3,"381","8643","4.408","10.505"
"2010","5","2010-May","S",4,"200","8643","2.314","12.819"
"2010","5","2010-May","S",5,"78","8643","0.902","13.721"
"2010","5","2010-May","S",6,"15","8643","0.174","13.895"
"2010","5","2010-May","S",7,"1","8643","0.012","13.907"
"2010","5","2010-May","SE",1,"366","8643","4.235","4.235"
"2010","5","2010-May","SE",2,"805","8643","9.314","13.549"
"2010","5","2010-May","SE",3,"595","8643","6.884","20.433"
"2010","5","2010-May","SE",4,"220","8643","2.545","22.978"
"2010","5","2010-May","SE",5,"41","8643","0.474","23.452"
"2010","5","2010-May","SE",6,"6","8643","0.069","23.521"
"2010","5","2010-May","SE",7,"2","8643","0.023","23.544"
"2010","5","2010-May","SW",1,"163","8643","1.886","1.886"
"2010","5","2010-May","SW",2,"408","8643","4.721","6.607"
"2010","5","2010-May","SW",3,"334","8643","3.864","10.471"
"2010","5","2010-May","SW",4,"69","8643","0.798","11.269"
"2010","5","2010-May","SW",5,"5","8643","0.058","11.327"
"2010","5","2010-May","SW",6,"1","8643","0.012","11.339"
"2010","5","2010-May","W",1,"132","8643","1.527","1.527"
"2010","5","2010-May","W",2,"273","8643","3.159","4.686"
