year_month,days,hours,max_speed
2011-January,1,1,0.0
2010-December,21,15,5.01
2010-March,26,13,7.05
2010-January,19,14,6.31
2010-January,19,16,6.31
2010-April,12,15,6.31
2010-October,19,5,6.86
2010-November,23,17,6.86
2010-September,29,15,6.68
2010-May,15,16,6.68
2010-July,14,1,11.13
2010-August,2,19,6.49
2010-June,15,18,7.24
