years,months,year_month,days,cardinal_direction,speed_bin,count_freq,count_total,perc_freq,cumulative_perc_freq
2010,5,2010-May,1,NE,2,22,775,2.839,15.097
2010,5,2010-May,2,W,1,10,778,1.285,1.285
2010,5,2010-May,4,S,2,60,693,8.658,10.534
2010,5,2010-May,4,W,3,1,693,0.144,1.154
2010,5,2010-May,8,S,3,51,650,7.846,9.692
2010,5,2010-May,9,E,3,3,654,0.459,7.646
2010,5,2010-May,12,S,4,5,658,0.76,3.648
2010,5,2010-May,12,W,1,4,658,0.608,0.608
2010,5,2010-May,13,NE,4,37,762,4.856,20.604
2010,5,2010-May,13,S,4,2,762,0.262,1.311
2010,5,2010-May,20,SE,4,31,737,4.206,16.825
