years,months,year_month,days,cardinal_direction,speed_bin,count_freq,count_total,perc_freq,cumulative_perc_freq
2010,12,2010-December,12,S,4,1,24,4.167,12.501
2010,12,2010-December,21,W,2,1,23,4.348,8.696
2010,12,2010-December,27,SW,1,5,24,20.833,20.833
2010,12,2010-December,28,SE,2,2,23,8.696,8.696
2010,1,2010-January,25,E,3,4,24,16.667,20.834
2010,4,2010-April,11,SW,2,1,24,4.167,4.167
2010,4,2010-April,16,NW,2,1,24,4.167,4.167
2010,4,2010-April,21,SE,2,2,24,8.333,16.666
2010,4,2010-April,26,NE,2,2,24,8.333,16.666
2010,4,2010-April,29,SE,1,2,24,8.333,8.333
2010,5,2010-May,1,SW,2,1,24,4.167,8.334
2010,5,2010-May,4,E,1,5,24,20.833,20.833
2010,5,2010-May,8,S,4,3,24,12.5,33.333
2010,5,2010-May,8,SE,1,1,24,4.167,4.167
2010,5,2010-May,9,W,1,1,24,4.167,4.167
2010,5,2010-May,13,E,4,1,24,4.167,33.334
2010,5,2010-May,29,SW,1,3,24,12.5,12.5
2010,5,2010-May,29,SW,3,2,24,8.333,29.166
2010,6,2010-June,3,SE,1,1,24,4.167,4.167
2010,6,2010-June,10,SE,2,2,24,8.333,12.5
2010,6,2010-June,12,NW,3,1,24,4.167,8.334
2010,6,2010-June,15,SW,1,1,21,4.762,4.762
2010,6,2010-June,17,SE,1,1,24,4.167,4.167
2010,6,2010-June,18,NE,1,4,24,16.667,16.667
2010,6,2010-June,22,SE,2,4,24,16.667,29.167
2010,6,2010-June,23,W,3,4,24,16.667,25.001
2010,6,2010-June,24,S,4,1,24,4.167,4.167
2010,6,2010-June,29,SE,3,1,24,4.167,12.5
2010,7,2010-July,2,SE,1,1,24,4.167,4.167
2010,7,2010-July,4,E,2,2,24,8.333,8.333
2010,7,2010-July,4,SE,2,3,24,12.5,20.833
2010,7,2010-July,9,S,1,1,24,4.167,4.167
2010,7,2010-July,11,NW,1,1,23,4.348,4.348
2010,7,2010-July,17,NE,2,2,24,8.333,16.666
2010,7,2010-July,23,E,1,4,18,22.222,22.222
2010,7,2010-July,25,SE,3,2,21,9.524,28.572
2010,8,2010-August,4,NW,3,3,21,14.286,23.81
2010,8,2010-August,4,W,2,2,21,9.524,9.524
2010,8,2010-August,13,S,1,1,22,4.545,4.545
2010,8,2010-August,15,S,1,1,24,4.167,4.167
2010,8,2010-August,16,N,2,1,20,5.0,5.0
2010,8,2010-August,24,NE,2,1,23,4.348,8.696
2010,9,2010-September,5,SE,1,2,21,9.524,9.524
2010,9,2010-September,26,S,2,2,21,9.524,14.286
2010,10,2010-October,3,SE,2,3,24,12.5,29.167
2010,10,2010-October,5,E,1,3,24,12.5,12.5
2010,10,2010-October,10,E,1,6,17,35.294,35.294
2010,10,2010-October,16,W,1,1,18,5.556,5.556
2010,10,2010-October,17,W,3,1,16,6.25,12.5
2010,10,2010-October,18,E,1,2,16,12.5,12.5
2010,10,2010-October,30,E,2,6,24,25.0,33.333
2010,10,2010-October,31,NE,4,2,22,9.091,31.817
2010,11,2010-November,5,E,2,1,24,4.167,8.334
2010,11,2010-November,12,SW,3,1,19,5.263,15.789
2010,11,2010-November,15,S,1,4,24,16.667,16.667
2010,11,2010-November,27,SE,1,4,24,16.667,16.667
2010,11,2010-November,28,NW,2,4,24,16.667,20.834
2010,12,2010-December,5,S,2,2,24,8.333,16.666
2010,12,2010-December,8,NE,4,2,24,8.333,25.0
2010,12,2010-December,23,NE,1,1,24,4.167,4.167
2010,12,2010-December,23,S,2,1,24,4.167,16.667
2010,12,2010-December,23,SE,1,4,24,16.667,16.667
2010,12,2010-December,26,NE,3,3,24,12.5,29.167
2010,1,2010-January,22,E,3,3,24,12.5,20.834
2010,3,2010-March,26,NE,4,3,24,12.5,37.501
2010,3,2010-March,28,E,2,1,24,4.167,12.5
2010,3,2010-March,28,SE,2,3,24,12.5,16.667
2010,3,2010-March,30,SE,2,1,24,4.167,8.334
2010,4,2010-April,8,S,2,2,24,8.333,8.333
2010,4,2010-April,13,S,1,1,24,4.167,4.167
2010,4,2010-April,13,W,1,1,24,4.167,4.167
2010,4,2010-April,18,NE,1,2,24,8.333,8.333
2010,4,2010-April,18,SE,2,2,24,8.333,8.333
2010,4,2010-April,19,E,1,5,24,20.833,20.833
2010,4,2010-April,22,E,2,1,24,4.167,16.667
2010,4,2010-April,23,W,2,1,24,4.167,4.167
2010,5,2010-May,4,NE,2,1,24,4.167,12.5
2010,5,2010-May,14,SE,4,2,24,8.333,33.334
2010,5,2010-May,20,S,2,1,24,4.167,12.5
2010,5,2010-May,20,SE,1,3,24,12.5,12.5
2010,6,2010-June,3,NW,3,1,24,4.167,12.5
