years,months,year_month,max_speed,min_speed,avg_speed
2010,1,2010-January,6.31,0.0,1.657
2010,6,2010-June,7.24,0.0,1.298
2010,9,2010-September,6.68,0.0,1.175
2010,3,2010-March,7.05,0.0,1.51
2010,12,2010-December,5.01,0.0,0.943
2011,1,2011-January,0.0,0.0,0.0
2010,10,2010-October,6.86,0.0,1.01
2010,11,2010-November,6.86,0.0,0.938
2010,5,2010-May,6.68,0.0,1.62
2010,7,2010-July,11.13,0.0,1.363
2010,4,2010-April,6.31,0.0,1.792
2010,8,2010-August,6.49,0.0,1.358
