years,months,year_month,sum_yey_daily,sum_yey_yearly
2010,4,2010-April,2.896,1057.178
2010,8,2010-August,0.067,24.519
2010,6,2010-June,0.03,10.812
2010,10,2010-October,0.0,0.023
2010,3,2010-March,0.355,129.726
2010,7,2010-July,0.072,26.119
2010,9,2010-September,0.004,1.355
2010,11,2010-November,0.0,0.002
2010,12,2010-December,0.0,0.002
2011,1,2011-January,0.0,0.0
2010,5,2010-May,0.908,331.507
2010,1,2010-January,1.198,437.432
